Repository,Stars,PR ID,Files Modified,PR link
napalm-automation/napalm,2374,2243,1,https://github.com/napalm-automation/napalm/pull/2243
pycqa/prospector,2035,781,2,https://github.com/prospector-dev/prospector/pull/781
django-json-api/django-rest-framework-json-api,1238,1285,1,https://github.com/django-json-api/django-rest-framework-json-api/pull/1285
sibson/vncdotool,487,298,1,https://github.com/sibson/vncdotool/pull/298
jamesoff/simplemonitor,414,1646,4,https://github.com/jamesoff/simplemonitor/pull/1646
furlongm/patchman,412,689,1,https://github.com/furlongm/patchman/pull/689
django-cas-ng/django-cas-ng,393,371,1,https://github.com/django-cas-ng/django-cas-ng/pull/371
pytroll/pyresample,372,669,1,https://github.com/pytroll/pyresample/pull/669
openwateranalytics/pyswmm,341,585,2,https://github.com/pyswmm/pyswmm/pull/585
softlayer/softlayer-python,151,2230,5,https://github.com/softlayer/softlayer-python/pull/2230
uploadcare/pyuploadcare,132,314,1,https://github.com/uploadcare/pyuploadcare/pull/314
hdfgroup/h5pyd,122,262,3,https://github.com/HDFGroup/h5pyd/pull/262
camptocamp/anthem,26,72,1,https://github.com/camptocamp/anthem/pull/72
cytomine/cytomine-python-client,24,62,2,https://github.com/cytomine/Cytomine-python-client/pull/62
